Time,NumberHits
"2024-12-10 11:54:25",11
"2024-12-10 11:54:26",7
"2024-12-10 11:54:29",3
"2024-12-10 11:54:30",11
"2024-12-10 11:54:31",6
"2024-12-10 11:54:34",2
"2024-12-10 11:54:35",11
"2024-12-10 11:54:36",7
"2024-12-10 11:54:37",1
"2024-12-10 11:54:39",4
"2024-12-10 11:54:40",10
"2024-12-10 11:54:41",4
"2024-12-10 11:54:44",3
"2024-12-10 11:54:45",6
"2024-12-10 11:54:46",9
"2024-12-10 11:54:47",1
"2024-12-10 11:54:49",2
"2024-12-10 11:54:50",12
"2024-12-10 11:54:51",6
"2024-12-10 11:54:52",1
"2024-12-10 11:54:54",2
"2024-12-10 11:54:55",12
"2024-12-10 11:54:56",6
"2024-12-10 11:54:59",2
"2024-12-10 11:55:00",12
"2024-12-10 11:55:01",6
"2024-12-10 11:55:02",1
"2024-12-10 11:55:04",5
"2024-12-10 11:55:05",12
"2024-12-10 11:55:06",2
"2024-12-10 11:55:09",3
"2024-12-10 11:55:10",7
"2024-12-10 11:55:11",9
"2024-12-10 11:55:14",3
"2024-12-10 11:55:15",11
"2024-12-10 11:55:16",6
"2024-12-10 11:55:17",1
"2024-12-10 11:55:19",4
"2024-12-10 11:55:20",10
"2024-12-10 11:55:21",5
"2024-12-10 11:55:24",3
"2024-12-10 11:55:25",7
"2024-12-10 11:55:26",8
