Time,ActiveThreads
"2024-12-09 10:05:05",20
"2024-12-09 10:05:05",20
"2024-12-09 10:05:05",20
"2024-12-09 10:05:05",20
"2024-12-09 10:05:05",20
"2024-12-09 10:05:06",20
"2024-12-09 10:05:07",20
"2024-12-09 10:05:08",20
"2024-12-09 10:05:10",20
"2024-12-09 10:05:11",20
"2024-12-09 10:05:11",20
"2024-12-09 10:05:11",20
"2024-12-09 10:05:11",20
"2024-12-09 10:05:11",20
"2024-12-09 10:05:11",20
"2024-12-09 10:05:11",20
"2024-12-09 10:05:12",20
"2024-12-09 10:05:14",20
"2024-12-09 10:05:15",20
"2024-12-09 10:05:16",20
"2024-12-09 10:05:17",20
"2024-12-09 10:05:17",20
"2024-12-09 10:05:17",20
"2024-12-09 10:05:17",20
"2024-12-09 10:05:17",20
"2024-12-09 10:05:18",20
"2024-12-09 10:05:19",20
"2024-12-09 10:05:20",20
"2024-12-09 10:05:22",20
"2024-12-09 10:05:23",20
"2024-12-09 10:05:23",20
"2024-12-09 10:05:23",20
"2024-12-09 10:05:23",20
"2024-12-09 10:05:23",20
"2024-12-09 10:05:23",20
"2024-12-09 10:05:23",20
"2024-12-09 10:05:24",20
"2024-12-09 10:05:26",20
"2024-12-09 10:05:27",20
"2024-12-09 10:05:28",20
"2024-12-09 10:05:29",20
"2024-12-09 10:05:29",20
"2024-12-09 10:05:29",20
"2024-12-09 10:05:29",20
"2024-12-09 10:05:29",20
"2024-12-09 10:05:30",20
"2024-12-09 10:05:31",20
"2024-12-09 10:05:32",20
"2024-12-09 10:05:34",20
"2024-12-09 10:05:35",20
"2024-12-09 10:05:35",20
"2024-12-09 10:05:35",20
"2024-12-09 10:05:35",20
"2024-12-09 10:05:35",20
"2024-12-09 10:05:35",20
"2024-12-09 10:05:35",20
"2024-12-09 10:05:36",20
"2024-12-09 10:05:38",20
"2024-12-09 10:05:39",20
"2024-12-09 10:05:40",20
"2024-12-09 10:05:41",20
"2024-12-09 10:05:41",20
"2024-12-09 10:05:41",20
"2024-12-09 10:05:41",20
"2024-12-09 10:05:41",20
"2024-12-09 10:05:42",20
"2024-12-09 10:05:43",20
"2024-12-09 10:05:44",20
"2024-12-09 10:05:46",20
"2024-12-09 10:05:47",20
"2024-12-09 10:05:47",20
"2024-12-09 10:05:47",20
"2024-12-09 10:05:47",20
"2024-12-09 10:05:47",20
"2024-12-09 10:05:47",20
"2024-12-09 10:05:47",20
"2024-12-09 10:05:48",20
"2024-12-09 10:05:50",20
"2024-12-09 10:05:51",20
"2024-12-09 10:05:52",20
"2024-12-09 10:05:53",20
"2024-12-09 10:05:53",20
"2024-12-09 10:05:53",20
"2024-12-09 10:05:53",20
"2024-12-09 10:05:53",20
"2024-12-09 10:05:54",20
"2024-12-09 10:05:55",20
"2024-12-09 10:05:56",20
"2024-12-09 10:05:58",20
"2024-12-09 10:05:59",20
"2024-12-09 10:05:59",20
"2024-12-09 10:05:59",20
"2024-12-09 10:05:59",20
"2024-12-09 10:05:59",20
"2024-12-09 10:05:59",20
"2024-12-09 10:05:59",20
"2024-12-09 10:06:00",20
"2024-12-09 10:06:02",20
"2024-12-09 10:06:03",20
"2024-12-09 10:06:04",20
"2024-12-09 10:06:05",20
"2024-12-09 10:06:05",20
"2024-12-09 10:06:05",20
"2024-12-09 10:06:05",20
"2024-12-09 10:06:05",20
"2024-12-09 10:06:06",20
"2024-12-09 10:06:07",20
"2024-12-09 10:06:08",20
"2024-12-09 10:06:10",20
"2024-12-09 10:06:11",20
"2024-12-09 10:06:11",20
"2024-12-09 10:06:11",20
"2024-12-09 10:06:11",20
"2024-12-09 10:06:11",20
"2024-12-09 10:06:11",20
"2024-12-09 10:06:11",20
"2024-12-09 10:06:12",20
"2024-12-09 10:06:14",20
"2024-12-09 10:06:15",20
"2024-12-09 10:06:16",20
"2024-12-09 10:06:17",20
"2024-12-09 10:06:17",20
"2024-12-09 10:06:17",20
"2024-12-09 10:06:17",20
"2024-12-09 10:06:17",20
"2024-12-09 10:06:18",20
"2024-12-09 10:06:19",20
"2024-12-09 10:06:20",20
"2024-12-09 10:06:22",20
"2024-12-09 10:06:23",20
"2024-12-09 10:06:23",20
"2024-12-09 10:06:23",20
"2024-12-09 10:06:23",20
"2024-12-09 10:06:23",20
"2024-12-09 10:06:23",20
"2024-12-09 10:06:23",20
"2024-12-09 10:06:24",20
"2024-12-09 10:06:26",20
"2024-12-09 10:06:27",20
"2024-12-09 10:06:28",20
"2024-12-09 10:06:29",20
"2024-12-09 10:06:29",20
"2024-12-09 10:06:29",20
"2024-12-09 10:06:29",20
"2024-12-09 10:06:29",20
"2024-12-09 10:06:30",20
"2024-12-09 10:06:31",20
"2024-12-09 10:06:32",20
"2024-12-09 10:06:34",20
"2024-12-09 10:06:35",20
"2024-12-09 10:06:35",20
"2024-12-09 10:06:35",20
"2024-12-09 10:06:35",20
"2024-12-09 10:06:35",20
"2024-12-09 10:06:35",20
"2024-12-09 10:06:35",20
"2024-12-09 10:06:36",20
"2024-12-09 10:06:38",20
"2024-12-09 10:06:39",20
"2024-12-09 10:06:40",20
"2024-12-09 10:06:41",20
"2024-12-09 10:06:41",20
"2024-12-09 10:06:41",20
"2024-12-09 10:06:41",20
"2024-12-09 10:06:41",20
"2024-12-09 10:06:42",20
"2024-12-09 10:06:43",20
"2024-12-09 10:06:44",20
"2024-12-09 10:06:46",20
"2024-12-09 10:06:47",20
"2024-12-09 10:06:47",20
"2024-12-09 10:06:47",20
"2024-12-09 10:06:47",20
"2024-12-09 10:06:47",20
"2024-12-09 10:06:47",20
"2024-12-09 10:06:47",20
"2024-12-09 10:06:48",20
"2024-12-09 10:06:50",20
"2024-12-09 10:06:51",20
"2024-12-09 10:06:52",20
"2024-12-09 10:06:53",20
"2024-12-09 10:06:53",20
"2024-12-09 10:06:53",20
"2024-12-09 10:06:53",20
"2024-12-09 10:06:53",20
"2024-12-09 10:06:54",20
"2024-12-09 10:06:55",20
"2024-12-09 10:06:56",20
"2024-12-09 10:06:58",20
"2024-12-09 10:06:59",20
"2024-12-09 10:06:59",20
"2024-12-09 10:06:59",20
"2024-12-09 10:06:59",20
"2024-12-09 10:06:59",20
"2024-12-09 10:06:59",20
"2024-12-09 10:06:59",20
"2024-12-09 10:07:00",20
"2024-12-09 10:07:02",20
"2024-12-09 10:07:03",20
"2024-12-09 10:07:04",20
"2024-12-09 10:07:05",20
"2024-12-09 10:07:05",20
"2024-12-09 10:07:05",20
"2024-12-09 10:07:05",20
"2024-12-09 10:07:05",20
"2024-12-09 10:07:06",20
"2024-12-09 10:07:07",20
"2024-12-09 10:07:08",20
"2024-12-09 10:07:10",20
"2024-12-09 10:07:11",20
"2024-12-09 10:07:11",20
"2024-12-09 10:07:11",20
"2024-12-09 10:07:11",20
"2024-12-09 10:07:11",20
"2024-12-09 10:07:11",20
"2024-12-09 10:07:11",20
"2024-12-09 10:07:12",20
"2024-12-09 10:07:14",20
"2024-12-09 10:07:15",20
"2024-12-09 10:07:16",20
"2024-12-09 10:07:17",20
"2024-12-09 10:07:17",20
"2024-12-09 10:07:17",20
"2024-12-09 10:07:17",20
"2024-12-09 10:07:17",20
"2024-12-09 10:07:18",20
"2024-12-09 10:07:19",20
"2024-12-09 10:07:20",20
"2024-12-09 10:07:22",20
"2024-12-09 10:07:23",20
"2024-12-09 10:07:23",20
"2024-12-09 10:07:23",20
"2024-12-09 10:07:23",20
"2024-12-09 10:07:23",20
"2024-12-09 10:07:23",20
"2024-12-09 10:07:23",20
"2024-12-09 10:07:24",20
"2024-12-09 10:07:26",20
"2024-12-09 10:07:27",20
"2024-12-09 10:07:28",20
"2024-12-09 10:07:29",20
"2024-12-09 10:07:29",20
"2024-12-09 10:07:29",20
"2024-12-09 10:07:29",20
"2024-12-09 10:07:29",20
"2024-12-09 10:07:30",20
"2024-12-09 10:07:31",20
"2024-12-09 10:07:32",20
"2024-12-09 10:07:34",20
"2024-12-09 10:07:35",20
"2024-12-09 10:07:35",20
"2024-12-09 10:07:35",20
"2024-12-09 10:07:35",20
"2024-12-09 10:07:35",20
"2024-12-09 10:07:35",20
"2024-12-09 10:07:35",20
"2024-12-09 10:07:36",20
"2024-12-09 10:07:38",20
"2024-12-09 10:07:39",20
"2024-12-09 10:07:40",20
"2024-12-09 10:07:41",20
"2024-12-09 10:07:41",20
"2024-12-09 10:07:41",20
"2024-12-09 10:07:41",20
"2024-12-09 10:07:41",20
"2024-12-09 10:07:42",20
"2024-12-09 10:07:43",20
"2024-12-09 10:07:44",20
"2024-12-09 10:07:46",20
"2024-12-09 10:07:47",20
"2024-12-09 10:07:47",20
"2024-12-09 10:07:47",20
"2024-12-09 10:07:47",20
"2024-12-09 10:07:47",20
"2024-12-09 10:07:47",20
"2024-12-09 10:07:47",20
"2024-12-09 10:07:48",20
"2024-12-09 10:07:50",20
"2024-12-09 10:07:51",20
"2024-12-09 10:07:52",20
"2024-12-09 10:07:53",20
"2024-12-09 10:07:53",20
"2024-12-09 10:07:53",20
"2024-12-09 10:07:53",20
"2024-12-09 10:07:53",20
"2024-12-09 10:07:54",20
"2024-12-09 10:07:55",20
"2024-12-09 10:07:56",20
"2024-12-09 10:07:58",20
"2024-12-09 10:07:59",20
"2024-12-09 10:07:59",20
"2024-12-09 10:07:59",20
"2024-12-09 10:07:59",20
"2024-12-09 10:07:59",20
"2024-12-09 10:07:59",20
"2024-12-09 10:07:59",20
"2024-12-09 10:08:00",20
"2024-12-09 10:08:02",20
"2024-12-09 10:08:03",20
"2024-12-09 10:08:04",20
"2024-12-09 10:08:05",20
"2024-12-09 10:08:05",20
"2024-12-09 10:08:05",20
"2024-12-09 10:08:05",20
"2024-12-09 10:08:05",20
"2024-12-09 10:08:06",20
"2024-12-09 10:08:07",20
"2024-12-09 10:08:08",20
"2024-12-09 10:08:10",20
"2024-12-09 10:08:11",20
"2024-12-09 10:08:11",20
"2024-12-09 10:08:11",20
"2024-12-09 10:08:11",20
"2024-12-09 10:08:11",20
"2024-12-09 10:08:11",20
"2024-12-09 10:08:11",20
"2024-12-09 10:08:12",20
"2024-12-09 10:08:14",20
"2024-12-09 10:08:15",20
"2024-12-09 10:08:16",20
"2024-12-09 10:08:17",20
"2024-12-09 10:08:17",20
"2024-12-09 10:08:17",20
"2024-12-09 10:08:17",20
"2024-12-09 10:08:17",20
"2024-12-09 10:08:18",20
"2024-12-09 10:08:19",20
"2024-12-09 10:08:20",20
"2024-12-09 10:08:22",20
"2024-12-09 10:08:23",20
"2024-12-09 10:08:23",20
"2024-12-09 10:08:23",20
"2024-12-09 10:08:23",20
"2024-12-09 10:08:23",20
"2024-12-09 10:08:23",20
"2024-12-09 10:08:23",20
"2024-12-09 10:08:24",20
"2024-12-09 10:08:26",20
"2024-12-09 10:08:27",20
"2024-12-09 10:08:28",20
"2024-12-09 10:08:29",20
"2024-12-09 10:08:29",20
"2024-12-09 10:08:29",20
"2024-12-09 10:08:29",20
"2024-12-09 10:08:29",20
"2024-12-09 10:08:30",20
"2024-12-09 10:08:31",20
"2024-12-09 10:08:32",20
"2024-12-09 10:08:34",20
"2024-12-09 10:08:35",20
"2024-12-09 10:08:35",20
"2024-12-09 10:08:35",20
"2024-12-09 10:08:35",20
"2024-12-09 10:08:35",20
"2024-12-09 10:08:35",20
"2024-12-09 10:08:35",20
"2024-12-09 10:08:36",20
"2024-12-09 10:08:38",20
"2024-12-09 10:08:39",20
"2024-12-09 10:08:40",20
"2024-12-09 10:08:41",20
"2024-12-09 10:08:41",20
"2024-12-09 10:08:41",20
"2024-12-09 10:08:41",20
"2024-12-09 10:08:41",20
"2024-12-09 10:08:42",20
"2024-12-09 10:08:43",20
"2024-12-09 10:08:44",20
"2024-12-09 10:08:46",20
"2024-12-09 10:08:47",20
"2024-12-09 10:08:47",20
"2024-12-09 10:08:47",20
"2024-12-09 10:08:47",20
"2024-12-09 10:08:47",20
"2024-12-09 10:08:47",20
"2024-12-09 10:08:47",20
"2024-12-09 10:08:48",20
"2024-12-09 10:08:50",20
"2024-12-09 10:08:51",20
"2024-12-09 10:08:52",20
"2024-12-09 10:08:53",20
"2024-12-09 10:08:53",20
"2024-12-09 10:08:53",20
"2024-12-09 10:08:53",20
"2024-12-09 10:08:53",20
"2024-12-09 10:08:54",20
"2024-12-09 10:08:55",20
"2024-12-09 10:08:56",20
"2024-12-09 10:08:58",20
"2024-12-09 10:08:59",20
"2024-12-09 10:08:59",20
"2024-12-09 10:08:59",20
"2024-12-09 10:08:59",20
"2024-12-09 10:08:59",20
"2024-12-09 10:08:59",20
"2024-12-09 10:08:59",20
"2024-12-09 10:09:00",20
"2024-12-09 10:09:02",20
"2024-12-09 10:09:03",20
"2024-12-09 10:09:04",20
"2024-12-09 10:09:05",20
"2024-12-09 10:09:05",20
"2024-12-09 10:09:05",20
"2024-12-09 10:09:05",20
"2024-12-09 10:09:05",20
"2024-12-09 10:09:06",20
"2024-12-09 10:09:07",20
"2024-12-09 10:09:08",20
"2024-12-09 10:09:10",20
"2024-12-09 10:09:11",20
"2024-12-09 10:09:11",20
"2024-12-09 10:09:11",20
"2024-12-09 10:09:11",20
"2024-12-09 10:09:11",20
"2024-12-09 10:09:11",20
"2024-12-09 10:09:11",20
"2024-12-09 10:09:12",20
"2024-12-09 10:09:14",20
"2024-12-09 10:09:15",20
"2024-12-09 10:09:16",20
"2024-12-09 10:09:17",20
"2024-12-09 10:09:17",20
"2024-12-09 10:09:17",20
"2024-12-09 10:09:17",20
"2024-12-09 10:09:17",20
"2024-12-09 10:09:18",20
"2024-12-09 10:09:19",20
"2024-12-09 10:09:20",20
"2024-12-09 10:09:22",20
"2024-12-09 10:09:23",20
"2024-12-09 10:09:23",20
"2024-12-09 10:09:23",20
"2024-12-09 10:09:23",20
"2024-12-09 10:09:23",20
"2024-12-09 10:09:23",20
"2024-12-09 10:09:23",20
"2024-12-09 10:09:24",20
"2024-12-09 10:09:26",20
"2024-12-09 10:09:27",20
"2024-12-09 10:09:28",20
"2024-12-09 10:09:29",20
"2024-12-09 10:09:29",20
"2024-12-09 10:09:29",20
"2024-12-09 10:09:29",20
"2024-12-09 10:09:29",20
"2024-12-09 10:09:30",20
"2024-12-09 10:09:31",20
"2024-12-09 10:09:32",20
"2024-12-09 10:09:34",20
"2024-12-09 10:09:35",20
"2024-12-09 10:09:35",20
"2024-12-09 10:09:35",20
"2024-12-09 10:09:35",20
"2024-12-09 10:09:35",20
"2024-12-09 10:09:35",20
"2024-12-09 10:09:35",20
"2024-12-09 10:09:36",20
"2024-12-09 10:09:38",20
"2024-12-09 10:09:39",20
"2024-12-09 10:09:40",20
"2024-12-09 10:09:41",20
"2024-12-09 10:09:41",20
"2024-12-09 10:09:41",20
"2024-12-09 10:09:41",20
"2024-12-09 10:09:41",20
"2024-12-09 10:09:42",20
"2024-12-09 10:09:43",20
"2024-12-09 10:09:44",20
"2024-12-09 10:09:46",20
"2024-12-09 10:09:47",20
"2024-12-09 10:09:47",20
"2024-12-09 10:09:47",20
"2024-12-09 10:09:47",20
"2024-12-09 10:09:47",20
"2024-12-09 10:09:47",20
"2024-12-09 10:09:47",20
"2024-12-09 10:09:48",20
"2024-12-09 10:09:50",20
"2024-12-09 10:09:51",20
"2024-12-09 10:09:52",20
"2024-12-09 10:09:53",20
"2024-12-09 10:09:53",20
"2024-12-09 10:09:53",20
"2024-12-09 10:09:53",20
"2024-12-09 10:09:53",20
"2024-12-09 10:09:54",20
"2024-12-09 10:09:55",20
"2024-12-09 10:09:56",20
"2024-12-09 10:09:58",20
"2024-12-09 10:09:59",20
"2024-12-09 10:09:59",20
"2024-12-09 10:09:59",20
